link,missing_rate,method_type,method,rmse,nrmse,r2,mape
ac-ap,0.2,baseline,RollingMean,118.5,15.97,0.2757721506576407,18.82
ac-ap,0.2,baseline,LinearInterpolation,109.67,14.78,0.37972482912960204,16.75
ac-ap,0.2,stacking,StackingRegressor,60.204,8.288,0.6193,7.938
ac-ap,0.25,baseline,Mean,138.81,18.77,-0.0044344696152749385,23.0
ac-ap,0.25,baseline,Median,139.15,18.82,-0.009416995281898544,23.12
ac-ap,0.25,baseline,KNNImputer,138.81,18.77,-0.0044344696152749385,23.0
ac-ap,0.25,baseline,ForwardFill,128.8,17.42,0.13520337583072606,17.07
ac-ap,0.25,baseline,BackwardFill,117.99,15.96,0.27422831209738974,16.95
ac-ap,0.25,baseline,RollingMean,117.22,15.85,0.28372459337397016,17.51
ac-ap,0.25,baseline,LinearInterpolation,108.91,14.73,0.38165448855535034,15.76
ac-ap,0.25,stacking,StackingRegressor,66.1425,9.2975,0.4639,9.2425
ac-ap,0.3,baseline,Mean,136.15,18.35,-0.002103746922588856,21.63
ac-ap,0.3,baseline,Median,136.52,18.4,-0.007501624230342729,21.78
ac-ap,0.3,baseline,KNNImputer,136.15,18.35,-0.002103746922588856,21.63
ac-ap,0.3,baseline,ForwardFill,137.63,18.55,-0.02399271313193485,16.89
ac-ap,0.3,baseline,BackwardFill,137.47,18.53,-0.02152300610815261,16.98
ac-ap,0.3,baseline,RollingMean,134.46,18.12,0.022701130327462238,17.44
ac-ap,0.3,baseline,LinearInterpolation,117.42,15.83,0.25466019564992237,15.64
ac-ap,0.3,stacking,StackingRegressor,57.1733,8.07,0.6538,7.5467
ac-ap,0.35,baseline,Mean,141.5,19.16,-0.0073133542592076495,23.34
ac-ap,0.35,baseline,Median,141.81,19.2,-0.011700418368105314,23.44
ac-ap,0.35,baseline,KNNImputer,141.5,19.16,-0.0073133542592076495,23.34
ac-ap,0.35,baseline,ForwardFill,144.74,19.6,-0.05393882257168858,19.18
ac-ap,0.35,baseline,BackwardFill,128.91,17.46,0.16392157666312435,17.42
ac-ap,0.35,baseline,RollingMean,141.04,19.1,-0.0008335329110995549,19.01
ac-ap,0.35,baseline,LinearInterpolation,117.7,15.94,0.30300999404446227,16.86
ac-ap,0.35,stacking,StackingRegressor,57.1733,8.07,0.6538,7.5467
ac-ap,0.4,baseline,Mean,138.69,18.73,-0.0051887676947186545,22.16
ac-ap,0.4,baseline,Median,138.89,18.76,-0.008092239685367097,22.23
ac-ap,0.4,baseline,KNNImputer,138.69,18.73,-0.0051887676947186545,22.16
ac-ap,0.4,baseline,ForwardFill,138.7,18.73,-0.005401888293948165,17.99
ac-ap,0.4,baseline,BackwardFill,126.38,17.07,0.16533871758861185,16.66
ac-ap,0.4,baseline,RollingMean,134.58,18.18,0.053475689407129434,17.78
ac-ap,0.4,baseline,LinearInterpolation,113.83,15.38,0.3227919246179367,15.88
ac-ap,0.4,stacking,StackingRegressor,57.1733,8.07,0.6538,7.5467
ac-ap,0.45,baseline,Mean,135.92,18.31,-0.003127789816839588,21.06
ac-ap,0.45,baseline,Median,136.17,18.35,-0.006836856268675362,21.16
ac-ap,0.45,baseline,KNNImputer,135.92,18.31,-0.003127789816839588,21.06
ac-ap,0.45,baseline,ForwardFill,135.76,18.29,-0.0008382121663832454,17.03
ac-ap,0.45,baseline,BackwardFill,123.3,16.61,0.1744405056268581,15.88
ac-ap,0.45,baseline,RollingMean,131.81,17.76,0.05666097468302611,16.8
ac-ap,0.45,baseline,LinearInterpolation,111.19,14.98,0.3286383007637166,15.03
ac-ap,0.45,stacking,StackingRegressor,57.1733,8.07,0.6538,7.5467
ac-ap,0.5,baseline,Mean,135.41,18.15,-3.276395395013232e-05,20.47
ac-ap,0.5,baseline,Median,135.45,18.16,-0.0006587825912811596,20.52
ac-ap,0.5,baseline,KNNImputer,135.41,18.15,-3.276395395013232e-05,20.47
ac-ap,0.5,baseline,ForwardFill,136.04,18.24,-0.009435878696081756,16.66
ac-ap,0.5,baseline,BackwardFill,120.28,16.13,0.2108740402590098,14.69
ac-ap,0.5,baseline,RollingMean,130.92,17.55,0.06516995148917115,16.44
ac-ap,0.5,baseline,LinearInterpolation,107.91,14.47,0.3649159342979684,14.15
ac-ap,0.5,stacking,StackingRegressor,57.1733,8.07,0.6538,7.5467
ac-ba,0.2,baseline,Mean,99.59,12.85,-0.006957566748172939,10.86
ac-ba,0.2,baseline,Median,99.31,12.81,-0.0011703297329845874,10.9
ac-ba,0.2,baseline,KNNImputer,99.59,12.85,-0.006957566748172939,10.86
ac-ba,0.2,baseline,ForwardFill,88.07,11.36,0.21256356986341474,7.32
ac-ba,0.2,baseline,BackwardFill,71.05,9.17,0.4875781143936455,6.02
ac-ba,0.2,baseline,RollingMean,76.66,9.89,0.40343581627830805,6.34
ac-ba,0.2,baseline,LinearInterpolation,64.43,8.31,0.5785951878372675,5.73
ac-ba,0.2,stacking,StackingRegressor,59.02,7.846,0.301,5.97
ac-ba,0.25,baseline,Mean,104.64,13.59,-0.00025008858969122194,11.82
ac-ba,0.25,baseline,Median,104.69,13.6,-0.0012012554430529399,11.9
ac-ba,0.25,baseline,KNNImputer,104.64,13.59,-0.00025008858969122194,11.82
ac-ba,0.25,baseline,ForwardFill,90.21,11.72,0.25658304105740726,8.16
ac-ba,0.25,baseline,BackwardFill,68.72,8.93,0.5685606082596961,6.22
ac-ba,0.25,baseline,RollingMean,81.94,10.64,0.3866179149436104,7.47
ac-ba,0.25,baseline,LinearInterpolation,65.57,8.52,0.6072210720402493,6.21
ac-ba,0.25,stacking,StackingRegressor,57.23,7.71,0.3826,6.51
ac-ba,0.3,baseline,Mean,105.28,13.7,-2.4052328944090817e-06,11.94
ac-ba,0.3,baseline,Median,105.33,13.7,-0.0008771534993088359,11.98
ac-ba,0.3,baseline,KNNImputer,105.28,13.7,-2.4052328944090817e-06,11.94
ac-ba,0.3,baseline,ForwardFill,91.71,11.93,0.24116631707064462,8.27
ac-ba,0.3,baseline,BackwardFill,77.39,10.07,0.45966630642263684,6.63
ac-ba,0.3,baseline,RollingMean,84.68,11.02,0.3530037329545781,7.65
ac-ba,0.3,baseline,LinearInterpolation,72.25,9.4,0.5290437395642258,6.54
ac-ba,0.3,stacking,StackingRegressor,64.6933,8.9733,0.0818,7.75
ac-ba,0.35,baseline,Mean,109.33,14.23,-4.724268643174767e-06,12.56
ac-ba,0.35,baseline,Median,109.37,14.23,-0.0006243815266107067,12.58
ac-ba,0.35,baseline,KNNImputer,109.33,14.23,-4.724268643174767e-06,12.56
ac-ba,0.35,baseline,ForwardFill,86.63,11.27,0.37219592551663694,8.37
ac-ba,0.35,baseline,BackwardFill,84.3,10.97,0.4054098290596234,7.58
ac-ba,0.35,baseline,RollingMean,81.75,10.64,0.44096336452806073,7.9
ac-ba,0.35,baseline,LinearInterpolation,74.37,9.68,0.5372406005382728,7.11
ac-ba,0.35,stacking,StackingRegressor,64.6933,8.9733,0.0818,7.75
ac-ba,0.4,baseline,Mean,107.78,14.01,-0.00022846043436763885,12.25
ac-ba,0.4,baseline,Median,107.78,14.01,-0.0003497658872526621,12.29
ac-ba,0.4,baseline,KNNImputer,107.78,14.01,-0.00022846043436763885,12.25
ac-ba,0.4,baseline,ForwardFill,83.65,10.87,0.3974390353469165,8.02
ac-ba,0.4,baseline,BackwardFill,83.25,10.82,0.40320817881298554,7.65
ac-ba,0.4,baseline,RollingMean,79.48,10.33,0.4560788068028,7.67
ac-ba,0.4,baseline,LinearInterpolation,72.85,9.47,0.5429608048043519,7.02
ac-ba,0.4,stacking,StackingRegressor,64.6933,8.9733,0.0818,7.75
ac-ba,0.45,baseline,Mean,108.71,14.11,-0.0010931871336907761,12.31
ac-ba,0.45,baseline,Median,108.66,14.1,-5.134057695976857e-05,12.33
ac-ba,0.45,baseline,KNNImputer,108.71,14.11,-0.0010931871336907761,12.31
ac-ba,0.45,baseline,ForwardFill,86.57,11.24,0.36525452741834996,8.3
ac-ba,0.45,baseline,BackwardFill,88.92,11.54,0.3303045133845782,8.01
ac-ba,0.45,baseline,RollingMean,83.09,10.78,0.41525468205628857,8.02
ac-ba,0.45,baseline,LinearInterpolation,76.42,9.92,0.5053561393850944,7.38
ac-ba,0.45,stacking,StackingRegressor,64.6933,8.9733,0.0818,7.75
ac-ba,0.5,baseline,Mean,109.78,14.26,-0.000649869546001991,12.47
ac-ba,0.5,baseline,Median,109.75,14.25,-1.156418169245832e-05,12.5
ac-ba,0.5,baseline,KNNImputer,109.78,14.26,-0.000649869546001991,12.47
ac-ba,0.5,baseline,ForwardFill,86.58,11.24,0.3776956352713946,8.33
ac-ba,0.5,baseline,BackwardFill,87.13,11.32,0.3697310290820731,7.8
ac-ba,0.5,baseline,RollingMean,83.85,10.89,0.41621315756487065,8.1
ac-ba,0.5,baseline,LinearInterpolation,74.69,9.7,0.5368305913962215,7.18
ac-ba,0.5,stacking,StackingRegressor,64.6933,8.9733,0.0818,7.75
ac-ce,0.2,baseline,Mean,93.27,11.81,-0.0025709091998211697,10.17
ac-ce,0.2,baseline,Median,93.15,11.8,-1.8095054908906505e-05,10.21
ac-ce,0.2,baseline,KNNImputer,93.27,11.81,-0.0025709091998211697,10.17
ac-ce,0.2,baseline,ForwardFill,73.92,9.36,0.37029431832369486,6.28
ac-ce,0.2,baseline,BackwardFill,76.55,9.7,0.32470191948244775,6.18
ac-ce,0.2,baseline,RollingMean,66.64,8.44,0.4881769299242842,5.91
ac-ce,0.2,baseline,LinearInterpolation,60.22,7.63,0.582146321914861,5.37
ac-ce,0.2,stacking,StackingRegressor,48.014,6.256,0.5637,4.718
ac-ce,0.25,baseline,Mean,91.74,11.65,-0.0007782565277483222,9.88
ac-ce,0.25,baseline,Median,91.75,11.65,-0.0010414983509228204,9.93
ac-ce,0.25,baseline,KNNImputer,91.74,11.65,-0.0007782565277483222,9.88
ac-ce,0.25,baseline,ForwardFill,75.09,9.53,0.329400200841684,6.51
ac-ce,0.25,baseline,BackwardFill,73.79,9.37,0.35247868761109746,6.23
ac-ce,0.25,baseline,RollingMean,67.94,8.63,0.4510127584852268,6.07
ac-ce,0.25,baseline,LinearInterpolation,60.55,7.69,0.5639470244980517,5.53
ac-ce,0.25,stacking,StackingRegressor,44.9975,5.9325,0.6285,4.8125
ac-ce,0.3,baseline,Mean,91.36,11.63,-5.045254370750207e-05,9.87
ac-ce,0.3,baseline,Median,91.56,11.66,-0.004334623801804716,9.94
ac-ce,0.3,baseline,KNNImputer,91.36,11.63,-5.045254370750207e-05,9.87
ac-ce,0.3,baseline,ForwardFill,73.57,9.37,0.35158948020995484,6.43
ac-ce,0.3,baseline,BackwardFill,75.82,9.66,0.3111955569385525,6.62
ac-ce,0.3,baseline,RollingMean,67.49,8.59,0.45432941462537113,6.05
ac-ce,0.3,baseline,LinearInterpolation,63.02,8.03,0.5241009178419742,5.75
ac-ce,0.3,stacking,StackingRegressor,55.47,7.45,0.1117,6.41
ac-ce,0.35,baseline,Mean,90.99,11.58,-1.0185557592246042e-05,9.81
ac-ce,0.35,baseline,Median,91.16,11.6,-0.0037570794632402205,9.87
ac-ce,0.35,baseline,KNNImputer,90.99,11.58,-1.0185557592246042e-05,9.81
ac-ce,0.35,baseline,ForwardFill,71.73,9.13,0.3785695597398482,6.33
ac-ce,0.35,baseline,BackwardFill,73.72,9.38,0.3435348103617023,6.57
ac-ce,0.35,baseline,RollingMean,66.37,8.45,0.46796689748140974,6.03
ac-ce,0.35,baseline,LinearInterpolation,62.02,7.9,0.5353493729729578,5.7
ac-ce,0.35,stacking,StackingRegressor,55.47,7.45,0.1117,6.41
ac-ce,0.4,baseline,Mean,90.34,11.47,-0.0014263406609134055,9.68
ac-ce,0.4,baseline,Median,90.3,11.46,-0.0005559474029017686,9.73
ac-ce,0.4,baseline,KNNImputer,90.34,11.47,-0.0014263406609134055,9.68
ac-ce,0.4,baseline,ForwardFill,73.21,9.29,0.34237218543221837,6.37
ac-ce,0.4,baseline,BackwardFill,71.96,9.13,0.36467479760685606,6.38
ac-ce,0.4,baseline,RollingMean,67.85,8.61,0.43516878066497333,6.1
ac-ce,0.4,baseline,LinearInterpolation,62.1,7.88,0.5267870218082444,5.73
ac-ce,0.4,stacking,StackingRegressor,55.47,7.45,0.1117,6.41
ac-ce,0.45,baseline,Mean,93.47,11.84,-0.004958343226573181,10.1
ac-ce,0.45,baseline,Median,93.23,11.81,-2.459667050036529e-07,10.13
ac-ce,0.45,baseline,KNNImputer,93.47,11.84,-0.004958343226573181,10.1
ac-ce,0.45,baseline,ForwardFill,78.55,9.95,0.2901844814794652,6.79
ac-ce,0.45,baseline,BackwardFill,73.08,9.26,0.38560364496172717,6.58
ac-ce,0.45,baseline,RollingMean,74.66,9.46,0.35876310966430947,6.62
ac-ce,0.45,baseline,LinearInterpolation,65.2,8.26,0.511038442630571,6.05
ac-ce,0.45,stacking,StackingRegressor,55.47,7.45,0.1117,6.41
ac-ce,0.5,baseline,Mean,92.98,11.78,-0.006712449129175679,10.01
ac-ce,0.5,baseline,Median,92.67,11.74,-8.403417029123617e-06,10.05
ac-ce,0.5,baseline,KNNImputer,92.98,11.78,-0.006712449129175679,10.01
ac-ce,0.5,baseline,ForwardFill,77.99,9.88,0.2917220692775928,6.85
ac-ce,0.5,baseline,BackwardFill,75.31,9.54,0.339610338039243,6.55
ac-ce,0.5,baseline,RollingMean,74.27,9.41,0.35777173764406256,6.61
ac-ce,0.5,baseline,LinearInterpolation,66.13,8.38,0.49075271272536736,6.04
ac-ce,0.5,stacking,StackingRegressor,55.47,7.45,0.1117,6.41
ac-es,0.2,baseline,Mean,88.43,11.32,-0.001450589279916814,9.35
ac-es,0.2,baseline,Median,88.44,11.32,-0.001682795024737782,9.35
ac-es,0.2,baseline,KNNImputer,88.43,11.32,-0.001450589279916814,9.35
ac-es,0.2,baseline,ForwardFill,56.69,7.25,0.5884334089152392,5.66
ac-es,0.2,baseline,BackwardFill,57.21,7.32,0.58090075664019,5.52
ac-es,0.2,baseline,RollingMean,51.9,6.64,0.6550417019838913,5.15
ac-es,0.2,baseline,LinearInterpolation,51.38,6.58,0.6619201690350065,4.89
ac-es,0.2,stacking,StackingRegressor,46.46,6.178,0.3741,5.32
ac-es,0.25,baseline,Mean,91.32,11.73,-2.62386268157222e-06,9.83
ac-es,0.25,baseline,Median,91.32,11.73,-0.00014523813000755226,9.84
ac-es,0.25,baseline,KNNImputer,91.32,11.73,-2.62386268157222e-06,9.83
ac-es,0.25,baseline,ForwardFill,58.94,7.57,0.5834516943621081,5.77
ac-es,0.25,baseline,BackwardFill,54.55,7.01,0.6431399264411737,5.33
ac-es,0.25,baseline,RollingMean,54.04,6.94,0.6498370959233547,5.32
ac-es,0.25,baseline,LinearInterpolation,51.07,6.56,0.6872065326136404,4.85
ac-es,0.25,stacking,StackingRegressor,48.815,6.5325,0.0465,5.765
ac-es,0.3,baseline,Mean,91.71,11.76,-0.00026858929151929445,9.84
ac-es,0.3,baseline,Median,91.71,11.76,-0.000162956659243374,9.84
ac-es,0.3,baseline,KNNImputer,91.71,11.76,-0.00026858929151929445,9.84
ac-es,0.3,baseline,ForwardFill,58.62,7.52,0.5913372152449041,5.79
ac-es,0.3,baseline,BackwardFill,57.09,7.32,0.6123816952988387,5.56
ac-es,0.3,baseline,RollingMean,54.89,7.04,0.6417291547165672,5.35
ac-es,0.3,baseline,LinearInterpolation,51.49,6.6,0.6847424960777087,4.95
ac-es,0.3,stacking,StackingRegressor,42.29,5.6567,0.2583,5.0467
ac-es,0.35,baseline,Mean,90.05,11.54,-0.0007744172194605881,9.65
ac-es,0.35,baseline,Median,90.1,11.55,-0.0017962754900386901,9.64
ac-es,0.35,baseline,KNNImputer,90.05,11.54,-0.0007744172194605881,9.65
ac-es,0.35,baseline,ForwardFill,57.19,7.33,0.5963965393424182,5.63
ac-es,0.35,baseline,BackwardFill,56.54,7.25,0.6054594052221413,5.57
ac-es,0.35,baseline,RollingMean,54.16,6.94,0.6379887012360966,5.27
ac-es,0.35,baseline,LinearInterpolation,50.92,6.53,0.6800139027560864,4.94
ac-es,0.35,stacking,StackingRegressor,42.29,5.6567,0.2583,5.0467
ac-es,0.4,baseline,Mean,90.25,11.59,-2.38285513076697e-06,9.73
ac-es,0.4,baseline,Median,90.26,11.59,-0.00035579693411191826,9.72
ac-es,0.4,baseline,KNNImputer,90.25,11.59,-2.38285513076697e-06,9.73
ac-es,0.4,baseline,ForwardFill,58.18,7.47,0.5843716709473799,5.66
ac-es,0.4,baseline,BackwardFill,57.59,7.4,0.5927764666081796,5.61
ac-es,0.4,baseline,RollingMean,55.95,7.19,0.6155855173057261,5.4
ac-es,0.4,baseline,LinearInterpolation,51.72,6.64,0.6715458781956068,5.0
ac-es,0.4,stacking,StackingRegressor,42.29,5.6567,0.2583,5.0467
ac-es,0.45,baseline,Mean,90.5,11.62,-1.307354498170099e-05,9.77
ac-es,0.45,baseline,Median,90.51,11.62,-0.00010708960149852231,9.77
ac-es,0.45,baseline,KNNImputer,90.5,11.62,-1.307354498170099e-05,9.77
ac-es,0.45,baseline,ForwardFill,57.54,7.39,0.5957660331485217,5.58
ac-es,0.45,baseline,BackwardFill,58.28,7.48,0.5853041592587716,5.6
ac-es,0.45,baseline,RollingMean,55.74,7.16,0.6207000155105973,5.32
ac-es,0.45,baseline,LinearInterpolation,51.0,6.55,0.6824862009441137,4.93
ac-es,0.45,stacking,StackingRegressor,42.29,5.6567,0.2583,5.0467
ac-es,0.5,baseline,Mean,94.41,12.08,-0.002868301806362439,11.22
ac-es,0.5,baseline,Median,94.64,12.11,-0.00781502573470827,11.2
ac-es,0.5,baseline,KNNImputer,94.41,12.08,-0.002868301806362439,11.22
ac-es,0.5,baseline,ForwardFill,59.65,7.63,0.599716290915424,6.68
ac-es,0.5,baseline,BackwardFill,63.74,8.16,0.5429278344268627,6.98
ac-es,0.5,baseline,RollingMean,57.5,7.36,0.6280271082441313,6.37
ac-es,0.5,baseline,LinearInterpolation,54.93,7.03,0.6605613625058315,6.13
ac-es,0.5,stacking,StackingRegressor,42.29,5.6567,0.2583,5.0467
ac-go,0.2,baseline,Mean,85.7,10.97,-0.0018196770584935074,8.84
ac-go,0.2,baseline,Median,85.63,10.96,-0.0003240430840416586,8.85
ac-go,0.2,baseline,KNNImputer,85.7,10.97,-0.0018196770584935074,8.84
ac-go,0.2,baseline,ForwardFill,66.68,8.53,0.393521724252594,6.13
ac-go,0.2,baseline,BackwardFill,69.3,8.87,0.34483074759042276,6.23
ac-go,0.2,baseline,RollingMean,62.77,8.03,0.4624195376917507,5.76
ac-go,0.2,baseline,LinearInterpolation,59.91,7.67,0.5104045021843768,5.46
ac-go,0.2,stacking,StackingRegressor,43.426,5.752,0.3032,4.836
ac-go,0.25,baseline,Mean,85.09,10.91,-0.0006761508321737608,8.82
ac-go,0.25,baseline,Median,85.07,10.9,-2.6905170847468796e-05,8.83
ac-go,0.25,baseline,KNNImputer,85.09,10.91,-0.0006761508321737608,8.82
ac-go,0.25,baseline,ForwardFill,66.57,8.53,0.387539973891436,6.06
ac-go,0.25,baseline,BackwardFill,64.65,8.29,0.4224370922919024,5.82
ac-go,0.25,baseline,RollingMean,62.42,8.0,0.46154866615980283,5.65
ac-go,0.25,baseline,LinearInterpolation,56.62,7.26,0.5569277918919178,5.18
ac-go,0.25,stacking,StackingRegressor,36.82,4.9725,0.5355,3.7475
ac-go,0.3,baseline,Mean,84.26,10.85,-0.0011965191071214853,8.79
ac-go,0.3,baseline,Median,84.34,10.86,-0.003305589468916681,8.82
ac-go,0.3,baseline,KNNImputer,84.26,10.85,-0.0011965191071214853,8.79
ac-go,0.3,baseline,ForwardFill,66.56,8.57,0.37519557444958207,6.14
ac-go,0.3,baseline,BackwardFill,65.1,8.38,0.40236225436815687,5.84
ac-go,0.3,baseline,RollingMean,62.72,8.08,0.4451747502737481,5.72
ac-go,0.3,baseline,LinearInterpolation,57.01,7.34,0.5416673692466352,5.3
ac-go,0.3,stacking,StackingRegressor,48.1433,6.3567,-0.0336,5.2833
ac-go,0.35,baseline,Mean,84.67,10.93,-0.0049716588866945965,8.92
ac-go,0.35,baseline,Median,84.87,10.96,-0.009779607968789072,8.97
ac-go,0.35,baseline,KNNImputer,84.67,10.93,-0.0049716588866945965,8.92
ac-go,0.35,baseline,ForwardFill,66.53,8.59,0.379586398061437,6.22
ac-go,0.35,baseline,BackwardFill,64.62,8.34,0.4146610536276346,5.96
ac-go,0.35,baseline,RollingMean,62.69,8.09,0.44915030713717297,5.82
ac-go,0.35,baseline,LinearInterpolation,56.58,7.3,0.5512271112393018,5.34
ac-go,0.35,stacking,StackingRegressor,48.1433,6.3567,-0.0336,5.2833
ac-go,0.4,baseline,Mean,84.24,10.87,-0.0047533236943129165,8.85
ac-go,0.4,baseline,Median,84.38,10.89,-0.008184215184551258,8.89
ac-go,0.4,baseline,KNNImputer,84.24,10.87,-0.0047533236943129165,8.85
ac-go,0.4,baseline,ForwardFill,64.18,8.28,0.4167909449860874,6.03
ac-go,0.4,baseline,BackwardFill,64.53,8.33,0.4104061463992319,5.98
ac-go,0.4,baseline,RollingMean,60.67,7.83,0.47876933562920665,5.68
ac-go,0.4,baseline,LinearInterpolation,55.68,7.18,0.5610551584605619,5.26
ac-go,0.4,stacking,StackingRegressor,48.1433,6.3567,-0.0336,5.2833
ac-go,0.45,baseline,Mean,84.84,10.91,-0.00039243034036506863,8.86
ac-go,0.45,baseline,Median,84.9,10.92,-0.001831747107566395,8.89
ac-go,0.45,baseline,KNNImputer,84.84,10.91,-0.00039243034036506863,8.86
ac-go,0.45,baseline,ForwardFill,65.66,8.44,0.400898886434254,6.06
ac-go,0.45,baseline,BackwardFill,64.7,8.32,0.4183048940000136,6.03
ac-go,0.45,baseline,RollingMean,63.39,8.15,0.4415981212194582,5.83
ac-go,0.45,baseline,LinearInterpolation,56.23,7.23,0.5605284699799642,5.33
ac-go,0.45,stacking,StackingRegressor,48.1433,6.3567,-0.0336,5.2833
ac-go,0.5,baseline,Mean,86.25,11.06,-0.0008173155815882627,8.97
ac-go,0.5,baseline,Median,86.21,11.06,-2.9221770421195004e-06,8.99
ac-go,0.5,baseline,KNNImputer,86.25,11.06,-0.0008173155815882627,8.97
ac-go,0.5,baseline,ForwardFill,65.49,8.4,0.42291533788902236,6.01
ac-go,0.5,baseline,BackwardFill,68.76,8.82,0.3638076883065846,6.22
ac-go,0.5,baseline,RollingMean,63.5,8.14,0.4573951892025615,5.81
ac-go,0.5,baseline,LinearInterpolation,57.88,7.42,0.5492733186334142,5.37
ac-go,0.5,stacking,StackingRegressor,48.1433,6.3567,-0.0336,5.2833
ac-ma,0.2,baseline,Mean,84.24,10.5,-0.006367943866671721,8.91
ac-ma,0.2,baseline,Median,84.71,10.56,-0.017436848124948057,9.02
ac-ma,0.2,baseline,KNNImputer,84.24,10.5,-0.006367943866671721,8.91
ac-ma,0.2,baseline,ForwardFill,61.8,7.71,0.4583664364348685,5.71
ac-ma,0.2,baseline,BackwardFill,83.3,10.39,0.016139794662783813,6.34
ac-ma,0.2,baseline,RollingMean,54.31,6.77,0.5816933628823445,4.94
ac-ma,0.2,baseline,LinearInterpolation,61.45,7.66,0.4644691997041688,5.33
ac-ma,0.2,stacking,StackingRegressor,57.42,7.356,0.1943,5.976
ac-ma,0.25,baseline,Mean,82.94,10.31,-0.0021941502975144633,8.75
ac-ma,0.25,baseline,Median,83.23,10.35,-0.00917398154898974,8.83
ac-ma,0.25,baseline,KNNImputer,82.94,10.31,-0.0021941502975144633,8.75
ac-ma,0.25,baseline,ForwardFill,58.37,7.26,0.5036309508200298,5.41
ac-ma,0.25,baseline,BackwardFill,79.07,9.83,0.08917062100014295,6.09
ac-ma,0.25,baseline,RollingMean,52.79,6.56,0.5939362229430997,4.83
ac-ma,0.25,baseline,LinearInterpolation,58.27,7.24,0.5054124610804729,5.09
ac-ma,0.25,stacking,StackingRegressor,62.29,7.945,0.2713,6.85
ac-ma,0.3,baseline,Mean,81.87,10.19,-0.0038732425485485944,8.56
ac-ma,0.3,baseline,Median,82.32,10.24,-0.015085652164635421,8.68
ac-ma,0.3,baseline,KNNImputer,81.87,10.19,-0.0038732425485485944,8.56
ac-ma,0.3,baseline,ForwardFill,58.79,7.31,0.48223684521010235,5.4
ac-ma,0.3,baseline,BackwardFill,87.29,10.86,-0.14120788868243328,6.74
ac-ma,0.3,baseline,RollingMean,56.24,7.0,0.5262955677363534,5.13
ac-ma,0.3,baseline,LinearInterpolation,62.23,7.74,0.419888909831325,5.47
ac-ma,0.3,stacking,StackingRegressor,72.85,9.4533,0.0178,8.72
ac-ma,0.35,baseline,Mean,84.27,10.48,-0.0030636088871773826,8.79
ac-ma,0.35,baseline,Median,84.68,10.53,-0.01286643063487225,8.9
ac-ma,0.35,baseline,KNNImputer,84.27,10.48,-0.0030636088871773826,8.79
ac-ma,0.35,baseline,ForwardFill,60.98,7.58,0.47474269727105256,5.55
ac-ma,0.35,baseline,BackwardFill,90.93,11.31,-0.16806915676160172,6.71
ac-ma,0.35,baseline,RollingMean,58.75,7.31,0.512355163754812,5.29
ac-ma,0.35,baseline,LinearInterpolation,65.71,8.17,0.3901507194798528,5.64
ac-ma,0.35,stacking,StackingRegressor,72.85,9.4533,0.0178,8.72
ac-ma,0.4,baseline,Mean,84.11,10.45,-0.0019156115409284524,8.75
ac-ma,0.4,baseline,Median,84.49,10.49,-0.010927802156083244,8.84
ac-ma,0.4,baseline,KNNImputer,84.11,10.45,-0.0019156115409284524,8.75
ac-ma,0.4,baseline,ForwardFill,60.45,7.51,0.48246266044685193,5.47
